aaron	a: r O n
abdul	a p t u l
abe	ei: p
about	a p au Y t
abs	a p s
absolute	a p s O l u t
absolutely	a p s O l u t l i
access	a k s E s
accessibility	a k s E s I p I l I t i
accident	a k s I t E n_0 t
account	a k_h au n_0 t
acer	a: s E r
acid	a: s I t
act	a x t
actavis	a x t a v I s
actions	a k s j O n s
activate	a k t_h I v ei t
active	a x t I v
actors	a x t O r_0 s
actually	a k s j u l i
ad	a: t
add	a t
added	a t E t
address	a t r E s
adds	a t s
adebayor	a: t E p ai O r
adidas	a: t I t a s
adrian	a t r i a n
advania	a t v a n i j a
africa	a f r I k a
african	a f r I k a n
aftenposten	a f t E n p_h ou s t E n
after	a f t E r
again	a c E n
aged	ei: t s t
age	ei: t s
agency	ei: t j E n s i
agent	ei t j E n_0 t
aid	ei: t
aim	ei: m
ain't	ei n_0 t
airbnb	E: r p i j E n p i
airbus	E: r_0 p 9 s
aircraft	E: r_0 k_h r a f t
air	E: r
airline	E: r l ai n
airlines	E: r l ai n s
airport	E: r_0 p_h O r_0 t
airwaves	E: r_0 v ei v s
al	a: l
alan	a: l a n
alberto	a l p E r_0 t ou
albion	a l p i j O n
album	a l p u m
alcan	a l_0 k a n
alcoa	a l k_h ou a
alcohol	a l_0 k ou h O l
ale	ei: l
alfred	a l f r E t
alice	a: l I s
aliexpress	a: l i j E k s p r E s
allen	a l E n
almost	O l m ou s t
alonso	a l O n s O
also	O l s ou
alvaro	a l v a r ou
always	O l v ei s
am	a: m
amazon	a: m a s O n
ambient	a m p i E n_0 t
american	a m E r I k_h a n
amnesty	a m n E s t i
amy	ei: m i
anand	a: n a n t
and	a n t
andersson	a n t E r_0 s O n
andrew	a n t r u
andrews	a n t r j u s
andré	a n t r ei
android	a n t r Oi t
andy	a n t i
anfield	a n f i l t
angela	a J c E l a
angel	ei J c E l
angeles	a n t j E l E s
animal	a: n I m a l
animals	a: n I m a l s
aniston	a: n I s t O n
anne	a n
annie	a n i
annual	a n j u a l
answer	a n s 9 r
anthony	a n T O n i
anti	a n_0 t i
antoine	a n_0 t v a n
antonio	a n t_h O n I O
any	E: n i
anyone	E: n i v O n
anything	E: n i T i N
anywhere	E: n i v E r
apes	ei: p s
apple	a h p u l
apps	a h p s
april	ei: p_h r I l
arcade	a r_0 c ei t
architects	a r_0 c I t_h E x t s
architecture	a r_0 c I t_h E x t j u r
area	E: r i a
are	a: r
areas	E: r i a s
ariel	a r i j E l
armour	a r m u r
arms	a r m s
armstrong	a r m s t r O N
army	a r m i
arne	a r n E
arnold	a r n ou l t
arsenal	a r_0 s E n a l
arsene	a r_0 s E n
art	a r_0 t
article	a r_0 t I k u l
articles	a r_0 t I k u l s
artist	a r_0 t I s t
artists	a r_0 t I s t s
arts	a r_0 t s
ash	a s
ashley	a s t l ei
ashton	a s t O n
asia	ei: s j a
ask	a s k
asking	a s c i N
assad	a s a t
assange	a s a n s
asset	a s E t
assets	a s E t s
assistant	a s I s t a n_0 t
athletic	a T l E t_h I k
atkinson	a t c_h I n s O n
atmosphere	a h t m ou s f E r
attitude	a h t I t_h j u t
aubameyang	au: p a m ei j a N
audi	au: t i
audience	O: t i E n s
august	O: k 9 s t
austin	O s t I n
austria	O: s t r i a
authenticator	O T E n_0 t I k_h ei t O r
author	O: T O r
automotive	O: t ou m ou t I v
auto	O: t ou
autumn	O: t_h 9 m
aux	au k s
average	a: v E r E t s j
avion	a: v i j O n
aviv	a v i v
avocado	a: v O k_h a t ou
away	a v ei:
baby	p ei: p i
bachelor	p a t s j E l O r
background	p a h k r au n t
backup	p a h k 9 p
bad	p a: t
bag	p a: k
baines	p ei: n s
baker	p ei: k_h E r
balance	p a: l a n s
bale	p ei: l
balotelli	p a: l O t_h E l I
baltic	p O l_0 t I k
baltimore	p O l_0 t I m O r
bands	p a n t s
bang	p a N
banking	p a N_0 k i N
ban	p a: n
barack	p a: r a k
barak	p a: r a k
barcelona	p a r s E l ou n a
barcode	p a r k_h ou t
barkley	p a r_0 k l i
barnes	p a r n s
barnsley	p a r n s t l ei
barry	p a r i
basecamp	p ei: s k_h a m_0 p
based	p ei: s t
base	p ei: s
basically	p ei: s I k l i
basic	p ei: s I k
basil	p a: s I l
basis	p ei: s I s
bass	p a s
bastard	p a s t a r t
bate	p ei: t
batman	p a h t m a n
battle	p a h t u l
bayer	p ai E r
bay	p ei:
beach	p i: t s
beam	p i: m
bear	p E: r
bears	p E: r s
beast	p i: s t
beasts	p i: s t s
beat	p i: t
beauty	p j u: t i
beckham	p E h k h a m
beck	p E h k
bed	p E: t
been	p I n
beer	p i: r
before	p i f O: r
being	p i: j i N
bellamy	p E l a m i
bell	p E l
benchmark	p E n s m a r_0 k
benefit	p E n E f I t
benetton	p E: n E t_h O n
benitez	p E: n i t E s
benjamin	p E n t j a m I n
bennett	p E n E h t
ben	p E n
bentley	p E n_0 t l ei
berbatov	p E r p a t_h O v
berlingske	p E r l i n s c E
berlin	p E r l i n
bernard	p E r n a r t
bernie	p 9 r n i
berry	p E r i
bertrand	p E r_0 t r a n t
better	p E h t E r
beverly	p E v E r l i
bicycle	p ai: s I k u l
biden	p ai: t E n
bieber	p i p E r
bigger	p I k E r
biggest	p I k E s t
bigo	p I: k ou
big	p I k
bike	p ai: k
bilbao	p I l p a ou
billboards	p I l p O r t s
billion	p I l j O n
bill	p I l
billy	p I l i
bin	p I n
bird	p 9 r t
birds	p 9 r t s
birmingham	p 9 r m i N h a m
birthday	p 9 r T t ei
birth	p 9 r T
bistro	p I s t r ou
bitch	p I t s
bit	p I t
bixby	p I k s p i
black	p l a h k
blackburn	p l a h k p 9 r n
blackpool	p l a h k p_h u l
blade	p l ei: t
blair	p l E: r
blairs	p l E: r_0 s
blake	p l ei: k
blast	p l a s t
blog	p l O: k
blonde	p l O n t
blood	p l O t
bloody	p l O t i
bloomberg	p l u m p E r k
blue	p l u:
blues	p l u: s
bluetooth	p l u: t_h u T
board	p O r t
boateng	p ou t_h ei N
boat	p ou t
bobby	p O p i
bob	p O p
body	p O: t i
boeing	p ou: i N
bojan	p ou t j a n
boko	p ou: k ou
bologna	p O l ou n j a
bolton	p O l_0 t O n
bond	p O n t
bone	p ou: n
bones	p ou: n s
bono	p O: n ou
bon	p O: n
booking	p u h c I N
book	p u k
books	p u k s
boom	p u m
booster	p u s t E r
boost	p u s t
boot	p u t
boots	p u t s
boozt	p u s t
bo	p ou:
border	p O r t E r
borders	p O r t E r_0 s
boring	p O: r i N
boris	p O: r I s
born	p O r n
boro	p O r ou
borussia	p O r u s i a
bose	p ou: s
boss	p O s
both	p ou T
bottas	p O h t a s
bottom	p O h t O m
bought	p O t
bound	p au: n t
bourbon	p 9 r p O n
bournemouth	p O r n m au T
bowie	p ou: i
bowl	p ou: l
box	p O k s
boys	p Oi j s
bradley	p r a t l i
brad	p r a t
brady	p r ei: t i
brain	p r ei: n
brandon	p r a n t O n
brand	p r a n t
bravo	p r a v ou
breakers	p r ei: k E r_0 s
breakfast	p r E k f a s t
break	p r ei: k
breath	p r E T
breeding	p r i t i N
brendan	p r E n t a n
brentford	p r E n_0 t f O r t
brenton	p r E n_0 t O n
brewery	p r u: E r i
brewing	p r u: i N
brian	p r ai j a n
bride	p r ai: t
bridge	p r I t s
brighton	p r ai: t_h O n
bright	p r ai t
bringing	p r i N i N
bring	p r i N
bristol	p r I s t O l
britain	p r I h t E n
british	p r I h t I s
britney	p r I h t n ei
broadcasting	p r O t k_h a s t i N
broadway	p r O t v ei
broken	p r ou: k E n
broke	p r ou: k
brom	p r O: m
bromwich	p r O m v I t s
brooklyn	p r u h k l I n
brooks	p r u k s
brother	p r O D E r
brothers	p r O D E r_0 s
brought	p r O: t
brownie	p r au: n i
brown	p r au: n
bruce	p r u: s
brugge	p r Y c E
brunch	p r 9 n t s
bruno	p r u: n ou
bruyne	p r Oi n E
bryan	p r ai j a n
bryant	p r ai j a n_0 t
bröndby	p r 9 n p i
bucks	p 9 h k s
budget	p 9 t s E t
building	p I l t i N
buildings	p I l t i N s
build	p I l t
