a	aː
aalesund	ɔː l ɛ s ʏ n t
aaron	aː r ɔ n
abbadísin	a p a t i s ɪ n
abbas	a p a s
abbast	a p a s t
abdul	a p t u l
abdullah	a p t u l a
abe	eiː p
abel	aː p ɛ l
aber	aː p ɛ r
about	a p au ʏ t
abraham	aː p r a h a m
abs	a p s
absolute	a p s ɔ l u t
absolutely	a p s ɔ l u t l i
abstrakt	a p s t r a x t
abstrakta	a p s t r a x t a
abstrakti	a p s t r a x t ɪ
abstraktinu	a p s t r a x t ɪ n ʏ
abstraktið	a p s t r a x t ɪ ð
abstraktsins	a p s t r a x t s ɪ n s
abu	a p u
access	a k s ɛ s
accessibility	a k s ɛ s ɪ p ɪ l ɪ t i
accident	a k s ɪ t ɛ n̥ t
account	a kʰ au n̥ t
acer	aː s ɛ r
acid	aː s ɪ t
act	a x t
actions	a k s j ɔ n s
activate	a k tʰ ɪ v ei t
active	a x t ɪ v
actors	a x t ɔ r̥ s
actually	a k s j u l i
ad	aː t
adam	aː t a m
adams	aː t a m s
add	a t
adda	a t a
added	a t ɛ t
addi	a t ɪ
address	a t r ɛ s
adds	a t s
adebayor	aː t ɛ p ai ɔ r
adidas	aː t ɪ t a s
adolf	aː t ɔ l f
adolfs	aː t ɔ l f s
adolfsson	aː t ɔ l f s ɔ n
adrian	a t r i a n
advania	a t v a n i j a
aek	aː ɛ kʰ au
af	aː f
afa	aː v a
afar	aː v a r
afborgana	a v p ɔ r k a n a
afborganir	a v p ɔ r k a n ɪ r
afborgun	a v p ɔ r k ʏ n
afborgunum	a v p ɔ r k ɔ n ʏ m
afbragð	a v p r a ɣ ð
afbragðs	a v p r a ɣ ð s
afbragðsfólk	a v p r a ɣ ð s f ou l̥ k
afbrigði	a v p r ɪ ɣ ð ɪ
afbrigðilegrar	a v p r ɪ ɣ ð ɪ l ɛ ɣ r a r
afbrigðilegt	a v p r ɪ ɣ ð ɪ l ɛ x t
afbrigðum	a v p r ɪ ɣ ð ʏ m
afbrot	a v p r ɔ t
afbrota	a v p r ɔ t a
afbrotum	a v p r ɔ t ʏ m
afburða	a v p ʏ r ð a
afdrep	a v t r ɛ p
afdrif	a v t r ɪ v
afdrifarík	a v t r ɪ v a r i k
afdráttarlaus	a v t r au h t a r l œy s
afdráttarlaust	a f t r au h t a r l œy s t
affalla	a f a t l a
affalls	a f a t l̥ s
afferma	a f ɛ r m a
afföll	a f œ t l̥
afföllin	a f œ t l ɪ n
afgang	a v k au ŋ k
afgangateppi	a f k au ŋ k a tʰ ɛ h p ɪ
afgangi	a v k au ɲ c ɪ
afganginn	a v k au ɲ c ɪ n
afgangs	a v k au ŋ s
afgangur	a v k au ŋ k ʏ r
afgangurinn	a v k au ŋ k ʏ r ɪ n
afganistan	a v k a n ɪ s t a n
afganistans	a f k a n ɪ s t a n s
afgerandi	a v c ɛ r a n t ɪ
afgreidd	a v k r ei t
afgreiddar	a v k r ei t a r
afgreiddi	a v k r ei t ɪ
afgreitt	a v k r ei h t
afgreiða	a v k r ei ð a
afgreiði	a v k r ei ð ɪ
afgreiðsla	a v k r ei ð s t l a
afgreiðslu	a v k r ei ð s t l ʏ
afgreiðslugjöld	a v k r ei ð s t l ʏ c œ l t
afgreiðslunefnd	a v k r ei ð s t l ʏ n ɛ m t
afgreiðslustelpan	a v k r ei ð s t l ʏ s t ɛ l̥ p a n
afgreiðslutíma	a v k r ei ð s t l ʏ tʰ i m a
afhenda	a f h ɛ n t a
afhendi	a f h ɛ n t ɪ
afhending	a f h ɛ n t i ŋ k
afhendingar	a f h ɛ n t i ŋ k a r
afhendingu	a f h ɛ n t i ŋ k ʏ
afhendir	a f h ɛ n t ɪ r
afhent	a f h ɛ n̥ t
afhenta	a f h ɛ n̥ t a
afhentan	a f h ɛ n̥ t a n
afhentar	a f h ɛ n̥ t a r
afhenti	a f h ɛ n̥ t ɪ
afhentir	a f h ɛ n̥ t ɪ r
afhentu	a f h ɛ n̥ t ʏ
afhentur	a f h ɛ n̥ t ʏ r
afhjúpa	a f ç u p a
afhjúpað	a v ç u p a ð
afhomma	a f h ɔ m a
afhroð	a f r̥ ɔ ð
afhverju	a f kʰ v ɛ r j ʏ
afhöggvinn	a f h œ k v ɪ n
afi	aː v ɪ
afkastagetu	a v kʰ a s t a c ɛ t ʏ
