abbadísin	a p a t i s I n
abbast	a p a s t
adda	a t a
adolfs	a: t O l f s
adolfsson	a: t O l f s O n
af	a: f
afa	a: v a
afar	a: v a r
afbragð	a v p r a G D
afbragðsfólk	a v p r a G D s f ou l_0 k
afbrigði	a v p r I G D I
afbrigðilegrar	a v p r I G D I l E G r a r
afbrigðilegt	a v p r I G D I l E x t
afbrot	a v p r O t
afdrep	a v t r E p
afdrifarík	a v t r I v a r i k
afdráttarlaus	a v t r au h t a r l 9i s
affalla	a f a t l a
affalls	a f a l s
afferma	a f E r m a
afföll	a f 9 t l_0
afföllin	a f 9 t l I n
afgang	a v k au N k
afgangateppi	a f k au N k a t_h E h p I
afganginn	a v k au J c I n
afgangur	a v k au N k Y r
afganistan	a v k a n I s t a n
afgreidd	a v k r ei t
afgreiddi	a v k r ei t I
afgreiða	a v k r ei D a
afgreiðsla	a v k r ei D s t l a
afgreiðslu	a v k r ei D s t l Y
afgreiðslugjöld	a v k r ei D s t l Y c 9 l t
afgreiðslunefnd	a f k r ei D s t l Y n E m t
afgreiðslustelpan	a v k r ei D s t l Y s t E l_0 p a n
afhenda	a f h E n t a
afhending	a f h E n t i N k
afhendingar	a f h E n t i N k a r
afhenta	a f h E n_0 t a
afhentar	a f h E n_0 t a r
afhenti	a f h E n_0 t I
afhentir	a f h E n_0 t I r
afhomma	a f h O m a
afhöggvinn	a f h 9 k v I n
afi	a: v I
afkastamikill	a v k_h a s t a m I c I t l_0
afklæddist	a v k_h l ai t I s t
afklæðast	a v k_h l ai D a s t
afkomandi	a v k_h O m a n t I
afkomukreppu	a v k_h O m Y k_h r E h p Y
afkomutölur	a v k_h O m Y t_h 9 l Y r
afkvæmarannsókn	a v k_h v ai m a r a n s ou h k n_0
afkvæmi	a v k_h v ai m I
afkvæmum	a v k_h v ai m Y m
afl	a p l_0
afla	a p l a
aflahlutdeildum	a p l a l_0 Y t ei l t Y m
aflamarks	a p l a m a r_0 k s
aflamarksbátum	a p l a m a r_0 k s p au t Y m
aflamarkskerfi	a p l a m a r_0 k s c_h E r v I
aflann	a p l a n
aflaskýrslu	a p l a s c i r_0 s t l Y
aflausn	a v l 9i s t n_0
aflað	a p l a D
afleggjaranum	a v l E c a r a n Y m
afleidd	a v l ei t
afleiða	a v l ei D a
afleiðing	a v l ei D i N k
afleiðinga	a v l ei D i N k a
afleiðingar	a v l ei D i N k a r
afleiðingin	a v l ei D i J c I n
afleiðingum	a v l ei D i N k Y m
afli	a p l I
afloknum	a v l O h k n Y m
afláts	a: v l au t s
aflétt	a v l j E h t
aflýsa	a v l i s a
aflýst	a v l i s t
afmælisbarns	a v m ai l I s p a r_0 s
afmælisdaginn	a v m ai l I s t ai j I n
afmælisdegi	a v m ai l I s t ei j I
afmælisgjöf	a v m ai l I s c 9 f
afmælissamkomu	a v m ai l I s a m k_h O m Y
afmælissönginn	a v m ai l I s 9i J c I n
afmælissöngnum	a v m ai l I s 9i N n Y m
afmælisveislan	a v m ai l I s v ei s t l a n
afmælisveislu	a v m ai l I s v ei s t l Y
afmörkuð	a v m 9 r_0 k Y D
afmörkuðu	a v m 9 r_0 k Y D Y
