WORD	SAMPA	PRON_VARIANT
aaron	a: r O n	all
abbadísin	a p a t i s I n	all
abbast	a p a s t	all
abu	a p u	all
adam	a: t a m	all
adams	a: t a m s	all
adda	a t a	all
adolf	a: t O l f	all
adolfs	a: t O l f s	standard_clear
adolfs	a: t O l s	standard_cas
adolfsson	a: t O l f s O n	standard_clear
adolfsson	a: t O l s O n	standard_cas
af	a: f	all
afa	a: v a	all
afar	a: v a r	all
afborganir	a v p O r k a n I r	all
afbragð	a v p r a G D	all
afbragðsfólk	a v p r a G D s f ou l k_h	northeast_clear
afbragðsfólk	a v p r a G D s f ou l_0 k	standard_clear
afbrigði	a v p r I G D I	all
afbrigðilegrar	a v p r I G D I l E G r a r	all
afbrigðilegt	a v p r I G D I l E x t	all
afbrot	a v p r O t	standard_clear
afbrot	a v p r O t_h	north_clear
afdrep	a v t r E p	standard_clear
afdrep	a v t r E p_h	north_clear
afdrif	a v t r I v	all
afdrifarík	a v t r I v a r i k	standard_clear
afdrifarík	a v t r I v a r i k_h	north_clear
afdráttarlaus	a v t r au h t a r l 9i s	all
affalla	a f a t l a	all
affalls	a f a l s	all
afferma	a f E r m a	all
afföll	a f 9 t l_0	all
afföllin	a f 9 t l I n	all
afgang	a v k au N k	all
afgangateppi	a f k au N k a t_h E h p I	all
afganginn	a v k au J c I n	all
afgangur	a v k au N k Y r	all
afganistan	a v k a n I s t a n	all
afgerandi	a v c E r a n t I	all
afgreidd	a v k r ei t	all
afgreiddi	a v k r ei t I	all
afgreitt	a v k r ei h t	all
afgreiða	a v k r ei D a	all
afgreiðsla	a v k r ei D s t l a	all
afgreiðslu	a v k r ei D s t l Y	all
afgreiðslugjöld	a v k r ei D s t l Y c 9 l t	all
afgreiðslunefnd	a f k r ei D s t l Y n E m t	all
afgreiðslustelpan	a v k r ei D s t l Y s t E l p_h a n	northeast_clear
afgreiðslustelpan	a v k r ei D s t l Y s t E l_0 p a n	standard_clear
afhenda	a f h E n t a	all
afhending	a f h E n t i N k	all
afhendingar	a f h E n t i N k a r	all
afhendingu	a f h E n t i N k Y	all
afhenta	a f h E n t_h a	northeast_clear
afhenta	a f h E n_0 t a	standard_clear
afhentar	a f h E n t_h a r	northeast_clear
afhentar	a f h E n_0 t a r	standard_clear
afhenti	a f h E n t_h I	northeast_clear
afhenti	a f h E n_0 t I	standard_clear
afhentir	a f h E n t_h I r	northeast_clear
afhentir	a f h E n_0 t I r	standard_clear
afhomma	a f h O m a	all
afhöggvinn	a f h 9 k v I n	all
afi	a: v I	all
afkastamikill	a v k_h a s t a m I c I t l_0	standard_clear
afkastamikill	a v k_h a s t a m I c_h I t l_0	north_clear
afklæddist	a v k_h l ai t I s t	all
afklæðast	a v k_h l ai D a s t	all
afkomandi	a v k_h O m a n t I	all
afkomendur	a v k_h O m E n t Y r	all
afkomukreppu	a v k_h O m Y k_h r E h p Y	all
afkomutölur	a v k_h O m Y t_h 9 l Y r	all
afkvæmarannsókn	a v k_h v ai m a r a n s ou h k n_0	all
afkvæmi	a v k_h v ai m I	all
afkvæmum	a v k_h v ai m Y m	all
afl	a p l_0	all
afla	a p l a	all
aflaheimilda	a p l a h ei m I l t a	all
aflaheimildir	a p l a h ei m I l t I r	all
aflaheimildum	a p l a h ei m I l t Y m	all
aflahlutdeildum	a p l a l_0 Y t ei l t Y m	all
aflamarks	a p l a m a r_0 k s	standard_clear
aflamarks	a p l a m a r_0 s	standard_cas
aflamarksbátum	a p l a m a r_0 k s p au t Y m	standard_clear
aflamarksbátum	a p l a m a r_0 k s p au t_h Y m	north_clear
aflamarksbátum	a p l a m a r_0 s p au t Y m	standard_cas
aflamarkskerfi	a p l a m a r_0 k s c_h E r v I	standard_clear
aflamarkskerfi	a p l a m a r_0 s c E r v I	standard_cas
aflann	a p l a n	all
aflaskýrslu	a p l a s c i r_0 s t l Y	standard_clear
aflaskýrslu	a p l a s c i s t l Y	standard_cas
aflausn	a v l 9i s t n_0	all
aflaverðmæti	a p l a v E r D m ai t I	standard_clear
aflaverðmæti	a p l a v E r D m ai t_h I	north_clear
aflað	a p l a D	all
afleggjaranum	a v l E c a r a n Y m	all
afleidd	a v l ei t	all
afleiða	a v l ei D a	all
afleiðing	a v l ei D i N k	all
afleiðinga	a v l ei D i N k a	all
afleiðingar	a v l ei D i N k a r	all
afleiðingarnar	a v l ei D i N k a r t n a r	all
afleiðingin	a v l ei D i J c I n	all
afleiðingum	a v l ei D i N k Y m	all
afli	a p l I	all
aflinn	a p l I n	all
afloknum	a v l O h k n Y m	all
afláts	a: v l au t s	all
aflétt	a v l j E h t	all
aflétta	a f l j E h t a	all
aflýsa	a v l i s a	all
aflýst	a v l i s t	all
afmælisbarns	a m ai l I s p a r_0 s	standard_cas
afmælisbarns	a v m ai l I s p a r_0 s	standard_clear
afmælisdaginn	a m ai l I s t ai j I n	standard_cas
afmælisdaginn	a v m ai l I s t ai j I n	standard_clear
afmælisdegi	a m ai l I s t ei j I	standard_cas
afmælisdegi	a v m ai l I s t ei j I	standard_clear
afmælisgjöf	a m ai l I s c 9 f	standard_cas
afmælisgjöf	a v m ai l I s c 9 f	standard_clear
afmælissamkomu	a m ai l I s a m k_h O m Y	standard_cas
afmælissamkomu	a v m ai l I s a m k_h O m Y	standard_clear
afmælissönginn	a m ai l I s 9i J c I n	standard_cas
afmælissönginn	a v m ai l I s 9i J c I n	standard_clear
afmælissöngnum	a m ai l I s 9i n Y m	standard_cas
afmælissöngnum	a v m ai l I s 9i N n Y m	standard_clear
afmælisveislan	a m ai l I s v ei s t l a n	standard_cas
afmælisveislan	a v m ai l I s v ei s t l a n	standard_clear
afmælisveislu	a m ai l I s v ei s t l Y	standard_cas
afmælisveislu	a v m ai l I s v ei s t l Y	standard_clear
afmælið	a v m ai l I D	all
afmörkuð	a v m 9 r_0 k Y D	all
afmörkuðu	a v m 9 r_0 k Y D Y	all
