a	a:
aaron	a: r O n
abbadísin	a p a t i s I n
abbas	a p a s
abbast	a p a s t
abdullah	a p t u l a
abe	ei: p
aber	a: p E r
about	a p au Y t
abs	a p s
absolute	a p s O l u t
absolutely	a p s O l u t l i
abu	a p u
access	a k s E s
accident	a k s I t E n_0 t
acer	a: s E r
acid	a: s I t
act	a x t
actions	a k s j O n s
active	a x t I v
actors	a x t O r_0 s
actually	a k s j u l i
ad	a: t
adam	a: t a m
adams	a: t a m s
add	a t
adda	a t a
added	a t E t
address	a t r E s
adds	a t s
adebayor	a: t E p ai O r
adidas	a: t I t a s
adolf	a: t O l f
adolfs	a: t O l f s
adolfsson	a: t O l f s O n
adrian	a t r i a n
advania	a t v a n i j a
af	a: f
afa	a: v a
afar	a: v a r
afborgana	a v p O r k a n a
afborganir	a v p O r k a n I r
afborgunum	a v p O r k O n Y m
afbragð	a v p r a G D
afbragðsfólk	a v p r a G D s f ou l_0 k
afbrigði	a v p r I G D I
afbrigðilegrar	a v p r I G D I l E G r a r
afbrigðilegt	a v p r I G D I l E x t
afbrigðum	a v p r I G D Y m
afbrot	a v p r O t
afburða	a v p Y r D a
afdrep	a v t r E p
afdrif	a v t r I v
afdrifarík	a v t r I v a r i k
afdráttarlaus	a v t r au h t a r l 9i s
afdráttarlaust	a f t r au h t a r l 9i s t
affalla	a f a t l a
affalls	a f a l s
afferma	a f E r m a
afföll	a f 9 t l_0
afföllin	a f 9 t l I n
afgang	a v k au N k
afgangateppi	a f k au N k a t_h E h p I
afgangi	a v k au J c I
afganginn	a v k au J c I n
afgangur	a v k au N k Y r
afgangurinn	a v k au N k Y r I n
afganistan	a v k a n I s t a n
afganistans	a f k a n I s t a n s
afgerandi	a v c E r a n t I
afgreidd	a v k r ei t
afgreiddi	a v k r ei t I
afgreitt	a v k r ei h t
afgreiða	a v k r ei D a
afgreiðsla	a v k r ei D s t l a
afgreiðslu	a v k r ei D s t l Y
afgreiðslugjöld	a v k r ei D s t l Y c 9 l t
afgreiðslunefnd	a f k r ei D s t l Y n E m t
afgreiðslustelpan	a v k r ei D s t l Y s t E l_0 p a n
afhenda	a f h E n t a
afhending	a f h E n t i N k
afhendingar	a f h E n t i N k a r
afhendingu	a f h E n t i N k Y
afhent	a: f h E n_0 t
afhenta	a f h E n_0 t a
afhentar	a f h E n_0 t a r
afhenti	a f h E n_0 t I
afhentir	a f h E n_0 t I r
afhentu	a: f h E n_0 t Y
afhentur	a: f h E n_0 t Y r
afhomma	a f h O m a
afhverju	a f k_h v E r j Y
afhöggvinn	a f h 9 k v I n
afi	a: v I
afkastamikill	a v k_h a s t a m I c I t l_0
afklæddist	a v k_h l ai t I s t
afklæðast	a v k_h l ai D a s t
afkoma	a v k_h O m a
afkoman	a v k_h O m a n
afkomandi	a v k_h O m a n t I
afkomendum	a v k_h O m E n t Y m
afkomendur	a v k_h O m E n t Y r
afkomu	a v k_h O m Y
afkomukreppu	a v k_h O m Y k_h r E h p Y
afkomutölur	a v k_h O m Y t_h 9 l Y r
afkvæmarannsókn	a v k_h v ai m a r a n s ou h k n_0
afkvæmi	a v k_h v ai m I
afkvæmum	a v k_h v ai m Y m
afköst	a v k_h 9 s t
afl	a p l_0
afla	a p l a
aflaheimilda	a p l a h ei m I l t a
aflaheimildir	a p l a h ei m I l t I r
aflaheimildum	a p l a h ei m I l t Y m
aflahlutdeild	a p l a l_0 Y t ei l t
aflahlutdeildum	a p l a l_0 Y t ei l t Y m
aflamark	a p l a m a r_0 k
aflamarks	a p l a m a r_0 k s
aflamarksbátum	a p l a m a r_0 k s p au t Y m
aflamarkskerfi	a p l a m a r_0 k s c_h E r v I
aflann	a p l a n
aflans	a p l a n s
aflanum	a p l a n Y m
aflaskýrslu	a p l a s c i r_0 s t l Y
aflausn	a v l 9i s t n_0
aflaverðmæti	a p l a v E r D m ai t I
aflað	a p l a D
aflaði	a p l a D I
afleggjaranum	a v l E c a r a n Y m
afleidd	a v l ei t
afleiða	a v l ei D a
afleiðing	a v l ei D i N k
afleiðinga	a v l ei D i N k a
afleiðingar	a v l ei D i N k a r
afleiðingarnar	a v l ei D i N k a r t n a r
afleiðingin	a v l ei D i J c I n
afleiðingum	a v l ei D i N k Y m
afli	a p l I
aflinn	a p l I n
afloknum	a v l O h k n Y m
afláts	a: v l au t s
aflétt	a v l j E h t
aflétta	a f l j E h t a
aflýsa	a v l i s a
aflýst	a v l i s t
afmarka	a v m a r_0 k a
afmarkað	a v m a r_0 k a D
afmæli	a v m ai l I
afmælinu	a v m ai l I n Y
afmælis	a v m ai l I s
afmælisbarns	a v m ai l I s p a r_0 s
afmælisdaginn	a v m ai l I s t ai j I n
afmælisdegi	a v m ai l I s t ei j I
afmælisgjöf	a v m ai l I s c 9 f
afmælissamkomu	a v m ai l I s a m k_h O m Y
afmælissönginn	a v m ai l I s 9i J c I n
afmælissöngnum	a v m ai l I s 9i N n Y m
afmælisveislan	a v m ai l I s v ei s t l a n
afmælisveislu	a v m ai l I s v ei s t l Y
afmælið	a v m ai l I D
afmörkun	a v m 9 r_0 k Y n
afmörkuð	a v m 9 r_0 k Y D
afmörkuðu	a v m 9 r_0 k Y D Y
afmörkuðum	a v m 9 r_0 k Y D Y m
afneita	a v n ei t a
afnema	a v n E m a
afnot	a v n O t
afnota	a v n O t a
afnotarétt	a v n O t a r j E h t
afnumin	a v n Y m I n
afnumið	a v n Y m I D
afnám	a v n au m
afnámi	a v n au m I
afoxun	a: v O k s Y n
afplána	a v p l au n a
afplánun	a v p_h l au n Y n
afrakstur	a v r a k s t Y r
afraksturinn	a v r a k s t Y r I n
afrek	a v r E k
afreka	a v r E k a
africa	a f r I k a
african	a f r I k a n
afrifu	a v r I v Y
afrit	a v r I t
afritunarhnappinn	a v r I t Y n a r_0 n_0 a h p I n
afrétti	a v r j E h t I
afríku	a f r i k Y
afríkuverkefnisins	a f r i k Y v E r_0 c E p n I s I n s
afsaka	a f s a k a
afsakanirnar	a f s a k a n I r t n a r
afsal	a f s a l
afsala	a f s a l a
afsalað	a f s a l a D
afsali	a f s a l I
afskaplega	a f s k a p l E G a
afskekkt	a f s c E x t
afskekkta	a f s c E x t a
afskekktan	a f s c E x t a n
afskipta	a f s c I f t a
afskiptalaus	a f s c I f t a l 9i s
afskiptalausa	a f s c I f t a l 9i s a
afskiptasemi	a f s c I f t a s E m I
afskipti	a f s c I f t I
afskiptum	a f s c I f t Y m
afskrifa	a f s k r I v a
afskriftareikning	a f s k r I f t a r ei h k n i N k
afskriftir	a f s k r I f t I r
afskræmt	a f s k r ai m_0 t
afslappaður	a f s t l a h p a D Y r
afslátt	a f s t l au h t
afsláttar	a f s t l au h t a r
afsláttur	a f s t l au h t Y r
afslætti	a f s t l ai h t I
afsprengi	a f s p r ei J c I
afstaða	a f s t a D a
afstætt	a f s t ai h t
afstæður	a f s t ai D Y r
afstöðu	a f s t 9 D Y
afstöðubreytingu	a f s t 9 D Y p r ei t i N k Y
afstýra	a f s t i r a
afstýrt	a f s t i r_0 t
afsögn	a f s 9 k n_0
afsökun	a f s 9 k Y n
afsökunar	a f s 9 k Y n a r
afsökunarbeiðni	a f s 9 k Y n a r p ei D n I
aftan	a f t a n
aftansöngur	a f t a n s 9i N k Y r
aftar	a f t a r
aftari	a f t a r I
aftarlega	a f t a r l E G a
aftast	a f t a s t
aftenposten	a f t E n p_h ou s t E n
after	a f t E r
aftur	a f t Y r
afturelding	a f t Y r E l t i N k
aftureldingar	a f t Y r E l t i N k a r
aftureldingu	a f t Y r E l t i N k Y
afturenda	a f t Y r E n t a
afturendann	a f t Y r E n t a n
afturgluggann	a f t Y r k l Y k a n
afturgoldið	a f t Y r k O l t I D
afturgöngu	a f t Y r_0 k 9i N k Y
afturgöngur	a f t Y r k 9i N k Y r
afturhald	a f t Y r h a l t
afturhvarf	a f t Y r_0 k_h v a r f
afturkalla	a f t Y r_0 k_h a t l a
afturkallað	a f t Y r_0 k_h a t l a D
afturkvæmt	a f t Y r_0 k_h v ai m_0 t
afturköllun	a f t Y r_0 k_h 9 t l Y n
afturlappirnar	a f t Y r l a h p I r t n a r
afturstuðarann	a f t Y r_0 s t Y D a r a n
aftursæti	a f t Y r_0 s ai t I
aftursætið	a f t Y r_0 s ai t I D
afturábak	a f t Y r au p a k
afturí	a f t Y r i
aftöku	a f t_h 9 k Y
aftökur	a f t_h 9 k Y r
afurð	a: v Y r D
afurða	a: v Y r D a
afurðanna	a: v Y r D a n a
afurðasamsetning	a: v Y r D a s a m s E h t n i N k
afurðatekjum	a: v Y r D a t_h E c Y m
afurðir	a: v Y r D I r
afurðum	a: v Y r D Y m
afviknum	a v I h k n Y m
afvopna	a v O h p n a
afvopnun	a v O h p n Y n
afþakkað	a f T a h k a D
afþakkaði	a f T a h k a D I
afþreying	a f T r ei j i N k
afþreyingu	a f T r ei j i N k Y
aga	a: G a
agalegt	a: G a l E x t
age	ei: t s
aged	ei: t s t
agency	ei: t j E n s i
aggagagg	a k a k a k
aggi	a c I
agi	ai j I
aginn	ai j I n
agli	a k l I
agn	a k n_0
agnar	a k n a r
agnarpunkts	a k n a r_0 p_h u n_0 t s
agnars	a k n a r_0 s
agnarsdóttir	a k n a r_0 s t ou h t I r
agnarsson	a k n a r_0 s O n
agnes	a k n E s
ags	a c j E: E s
aguero	a k v E r ou
ahmed	a x m E t
aid	ei: t
aik	a: I: k_h au:
aim	ei: m
ain't	ei n_0 t
air	E: r
airbus	E: r_0 p 9 s
aircraft	E: r_0 k_h r a f t
airline	E: r l ai n
airlines	E: r l ai n s
airport	E: r_0 p_h O r_0 t
ajax	ai j a k s
aka	a: k a
akandi	a: k a n t I
akkeri	a h c E r I
akkilesarhæll	a h c I l E s a r_0 h ai t l_0
akkúrat	a h k u r a t
aknet	a: k n E t
akrafjall	a: k r a f j a t l_0
akrahreppi	a: k r a r_0 E h p I
akranes	a: k r a n E s
akranesi	a: k r a n E s I
akraneskirkja	a: k r a n E s c_h I r_0 c a
akraness	a: k r a n E s
akrar	a: k r a r
akrein	a: k r ei n
akreina	a: k r ei n a
akreinar	a: k r ei n a r
akrinum	a: k r I n Y m
akrópólis	a: k r ou p_h ou l I s
akstri	a k s t r I
akstur	a k s t Y r
aksturinn	a k s t Y r I n
aksturs	a k s t Y r_0 s
