WORD	SAMPA	POS	PRON_VARIANT	IS_COMPOUND	COMPOUND_ATTR	HAS_PREFIX	LANG	IS_VALIDATED	COMMENT
aaron	a: r O n	n	all	false	none	false	GB	true	
ab	a: p j E	n	all	false	none	false	IS	true	skst
abbadísin	a p a t i s I n	n	all	true	none	false	IS	true	
abbas	a p a s	ns	all	false	none	false	IS	true	ekki enska
abbast	a p a s t	so	all	false	none	false	IS	true	
abc	a: p j E s j E	ns	all	false	none	false	IS	true	skst
abdullah	a p t u l a	ns	all	false	none	false	GB	true	ekki enska
abe	ei: p	ns	all	false	none	false	GB	true	""
aber	a: p E r	n	all	false	none	false	DE	true	ekki enska
about	a p au Y t	n	all	false	none	false	GB	true	""
abs	a p s	n	all	false	none	false	GB	true	""
absolute	a p s O l u t	n	all	false	none	false	GB	true	""
absolutely	a p s O l u t l i	n	all	false	none	false	GB	true	""
abu	a p u	n	all	false	none	false	IS	true	
ac	a: s j E	ns	all	false	none	false	IS	true	skst
access	a k s E s	n	all	false	none	false	GB	true	""
accident	a k s I t E n_0 t	n	all	false	none	false	GB	true	""
acer	a: s E r	ns	all	false	none	false	GB	true	""
acid	a: s I t	n	all	false	none	false	GB	true	""
act	a x t	n	all	false	none	false	GB	true	""
actions	a k s j O n s	n	all	false	none	false	GB	true	""
active	a x t I v	n	all	false	none	false	GB	true	""
actors	a x t O r_0 s	n	all	false	none	false	GB	true	""
actually	a k s j u l i	n	all	false	none	false	GB	true	""
ad	a: t	n	all	false	none	false	GB	true	""
adam	a: t a m	n	all	false	none	false	IS	true	
adams	a: t a m s	n	all	false	none	false	IS	true	
add	a t	n	all	false	none	false	GB	true	""
adda	a t a	ns	all	false	none	false	IS	true	
added	a t E t	n	all	false	none	false	GB	true	""
address	a t r E s	n	all	false	none	false	GB	true	""
adds	a t s	n	all	false	none	false	GB	true	""
adebayor	a: t E p ai O r	n	all	false	none	false	GB	true	""
adhd	a: t j E h au t j E	n	all	false	none	false	IS	true	skst
adidas	a: t I t a s	ns	all	false	none	false	GB	true	""
adolf	a: t O l f	n	all	false	none	false	IS	true	
adolfs	a: t O l f s	ns	standard_clear	false	modifier	false	IS	true	
adolfs	a: t O l s	ns	standard_cas	false	modifier	false	IS	true	
adolfsson	a: t O l f s O n	ns	standard_clear	true	none	false	IS	true	
adolfsson	a: t O l s O n	ns	standard_cas	true	none	false	IS	true	
adrian	a t r i a n	n	all	false	none	false	GB	true	""
advania	a t v a n i j a	n	all	false	none	false	GB	true	""
af	a: f	ao	all	false	none	false	IS	true	
afa	a: v a	n	all	false	both	false	IS	true	
afar	a: v a r	n	all	false	both	false	IS	true	
afborgana	a v p O r k a n a	n	all	false	head	true	IS	true	""
afborganir	a v p O r k a n I r	n	all	false	none	true	IS	true	
afborgunum	a v p O r k O n Y m	n	all	false	head	true	IS	true	""
afbragð	a v p r a G D	n	all	false	none	true	IS	true	
afbragðsfólk	a v p r a G D s f ou l k_h	n	northeast_clear	true	none	true	IS	true	
afbragðsfólk	a v p r a G D s f ou l_0 k	n	standard_clear	true	none	true	IS	true	
afbrigði	a v p r I G D I	n	all	false	both	true	IS	true	
afbrigðilegrar	a v p r I G D I l E G r a r	lo	all	false	none	true	IS	true	
afbrigðilegt	a v p r I G D I l E x t	lo	all	false	none	true	IS	true	
afbrigðum	a v p r I G D Y m	n	all	false	none	true	IS	true	""
afbrot	a v p r O t	n	standard_clear	false	head	true	IS	true	
afbrot	a v p r O t_h	n	north_clear	false	head	true	IS	true	
afburða	a v p Y r D a	n	all	false	modifier	true	IS	true	""
afdrep	a v t r E p	n	standard_clear	false	none	true	IS	true	
afdrep	a v t r E p_h	n	north_clear	false	none	true	IS	true	
afdrif	a v t r I v	n	all	false	none	true	IS	true	
afdrifarík	a v t r I v a r i k	lo	standard_clear	true	none	true	IS	true	
afdrifarík	a v t r I v a r i k_h	lo	north_clear	true	none	true	IS	true	
afdráttarlaus	a v t r au h t a r l 9i s	lo	all	true	none	true	IS	true	
afdráttarlaust	a f t r au h t a r l 9i s t	n	all	true	none	false	IS	true	""
affalla	a f a t l a	n	all	false	both	true	IS	true	
affalls	a f a l s	n	all	false	modifier	true	IS	true	
afferma	a f E r m a	so	all	false	none	true	IS	true	
afföll	a f 9 t l_0	n	all	false	none	true	IS	true	
afföllin	a f 9 t l I n	n	all	false	none	true	IS	true	
afgang	a v k au N k	n	all	false	head	true	IS	true	
afgangateppi	a f k au N k a t_h E h p I	n	all	true	none	true	IS	true	
afgangi	a v k au J c I	n	all	false	head	true	IS	true	""
afganginn	a v k au J c I n	n	all	false	head	true	IS	true	
afgangur	a v k au N k Y r	n	all	false	head	true	IS	true	
afgangurinn	a v k au N k Y r I n	n	all	false	head	true	IS	true	""
afganistan	a v k a n I s t a n	ns	all	false	modifier	false	IS	true	
afganistans	a f k a n I s t a n s	n	all	false	none	false	IS	true	""
afgerandi	a v c E r a n t I	lo	all	false	none	true	IS	true	
afgreidd	a v k r ei t	so	all	false	none	true	IS	true	
afgreiddi	a v k r ei t I	so	all	false	none	true	IS	true	
afgreitt	a v k r ei h t	so	all	false	none	true	IS	true	
afgreiða	a v k r ei D a	so	all	false	none	true	IS	true	
afgreiðsla	a v k r ei D s t l a	n	all	false	head	true	IS	true	
afgreiðslu	a v k r ei D s t l Y	n	all	false	both	true	IS	true	
afgreiðslugjöld	a v k r ei D s t l Y c 9 l t	n	all	true	none	true	IS	true	
afgreiðslunefnd	a f k r ei D s t l Y n E m t	n	all	true	none	true	IS	true	
afgreiðslustelpan	a v k r ei D s t l Y s t E l p_h a n	n	northeast_clear	true	none	true	IS	true	
afgreiðslustelpan	a v k r ei D s t l Y s t E l_0 p a n	n	standard_clear	true	none	true	IS	true	
afhenda	a f h E n t a	lo	all	false	none	true	IS	true	
afhenda	a f h E n t a	so	all	false	none	true	IS	true	
afhending	a f h E n t i N k	n	all	false	head	true	IS	true	
afhendingar	a f h E n t i N k a r	n	all	false	both	true	IS	true	
afhendingu	a f h E n t i N k Y	n	all	false	head	true	IS	true	
afhent	a: f h E n t_h	n	northeast_clear	false	none	true	IS	true	""
afhent	a: f h E n_0 t	n	standard_clear	false	none	true	IS	true	""
afhenta	a f h E n t_h a	so	northeast_clear	false	none	true	IS	true	
afhenta	a f h E n_0 t a	so	standard_clear	false	none	true	IS	true	
afhentar	a f h E n t_h a r	so	northeast_clear	false	none	true	IS	true	
afhentar	a f h E n_0 t a r	so	standard_clear	false	none	true	IS	true	
afhenti	a f h E n t_h I	so	northeast_clear	false	none	true	IS	true	
afhenti	a f h E n_0 t I	so	standard_clear	false	none	true	IS	true	
afhentir	a f h E n t_h I r	so	northeast_clear	false	none	true	IS	true	
afhentir	a f h E n_0 t I r	so	standard_clear	false	none	true	IS	true	
afhentu	a: f h E n_0 t Y	so	standard_clear	false	none	true	IS	true	""
